snapshot_utc,exchange,underlying,instrument,expiry,strike,type,mark_price,bid,ask,mark_iv,delta,gamma,vega,theta,open_interest,volume_24h,underlying_price
2026-07-13 04:02:17,deribit,BTC,BTC-28AUG26-46000-P,2026-08-28,46000,put,0.00369914,0.0035,0.0039,54.79,,,,,393.0,3.8,63042.21
2026-07-13 04:02:17,deribit,BTC,BTC-25JUN27-80000-C,2027-06-25,80000,call,0.08880895,0.088,0.0895,42.0,,,,,51.7,0.1,65186.82
2026-07-13 04:02:17,deribit,BTC,BTC-26MAR27-140000-C,2027-03-26,140000,call,0.00343968,0.0032,0.0037,43.99,,,,,756.1,0.1,64499.25
2026-07-13 04:02:17,deribit,BTC,BTC-31JUL26-50000-C,2026-07-31,50000,call,0.20573066,0.2015,0.2065,54.09,,,,,3.4,0.0,62855.72
2026-07-13 04:02:17,deribit,BTC,BTC-13JUL26-60000-C,2026-07-13,60000,call,0.04414931,0.013,0.0755,57.67,,,,,0.1,0.0,62770.94
2026-07-13 04:02:17,deribit,BTC,BTC-15JUL26-60000-P,2026-07-15,60000,put,0.00177084,0.0016,0.0019,46.87,,,,,73.7,14.0,62770.94
2026-07-13 04:02:17,deribit,BTC,BTC-25DEC26-62000-C,2026-12-25,62000,call,0.12564212,0.125,0.1265,41.95,,,,,169.7,0.0,63846.97
2026-07-13 04:02:17,deribit,BTC,BTC-25JUN27-82000-C,2027-06-25,82000,call,0.08117909,0.0805,0.082,41.85,,,,,22.4,0.1,65186.82
2026-07-13 04:02:17,deribit,BTC,BTC-25JUN27-110000-C,2027-06-25,110000,call,0.02373366,0.023,0.0245,41.39,,,,,53.8,6.9,65186.86
2026-07-13 04:02:17,deribit,BTC,BTC-31JUL26-108000-P,2026-07-31,108000,put,0.71821927,0.708,0.728,66.12,,,,,0.0,0.0,62855.72
2026-07-13 04:02:17,deribit,BTC,BTC-25SEP26-30000-C,2026-09-25,30000,call,0.52721523,0.526,0.528,78.26,,,,,107.3,0.0,63253.58
2026-07-13 04:02:17,deribit,BTC,BTC-16JUL26-62500-C,2026-07-16,62500,call,0.01662795,0.016,0.017,38.36,,,,,0.0,0.0,62770.98
2026-07-13 04:02:17,deribit,BTC,BTC-25JUN27-85000-P,2027-06-25,85000,put,0.37488342,0.3705,0.379,41.68,,,,,3.6,0.0,65186.82
2026-07-13 04:02:17,deribit,BTC,BTC-31JUL26-73000-C,2026-07-31,73000,call,0.00092104,0.0009,0.001,35.19,,,,,2052.3,1.8,62855.72
2026-07-13 04:02:17,deribit,BTC,BTC-26MAR27-108000-C,2027-03-26,108000,call,0.01255687,0.012,0.013,40.77,,,,,57.0,0.0,64499.29
2026-07-13 04:02:17,deribit,BTC,BTC-25SEP26-170000-C,2026-09-25,170000,call,7.371e-05,,0.0001,67.34,,,,,351.3,0.0,63253.69
2026-07-13 04:02:17,deribit,BTC,BTC-25DEC26-60000-C,2026-12-25,60000,call,0.14323427,0.1425,0.144,42.61,,,,,787.1,0.0,63846.97
2026-07-13 04:02:17,deribit,BTC,BTC-16JUL26-65500-P,2026-07-16,65500,put,0.04481661,0.04,0.0555,35.59,,,,,0.0,0.0,62770.98
2026-07-13 04:02:17,deribit,BTC,BTC-25SEP26-190000-P,2026-09-25,190000,put,2.0038072,1.9025,2.1135,72.81,,,,,0.0,0.0,63253.69
2026-07-13 04:02:17,deribit,BTC,BTC-31JUL26-98000-C,2026-07-31,98000,call,2.169e-05,,0.0001,60.4,,,,,1189.3,0.0,62855.72
2026-07-13 04:02:17,deribit,BTC,BTC-28AUG26-73000-C,2026-08-28,73000,call,0.00648991,0.006,0.0065,33.14,,,,,782.5,255.2,63042.21
2026-07-13 04:02:17,deribit,BTC,BTC-24JUL26-64000-P,2026-07-24,64000,put,0.03469457,0.034,0.0355,34.35,,,,,86.7,34.1,62823.76
2026-07-13 04:02:17,deribit,BTC,BTC-17JUL26-63000-C,2026-07-17,63000,call,0.01437578,0.014,0.015,37.36,,,,,1074.8,0.2,62793.96
2026-07-13 04:02:17,deribit,BTC,BTC-24JUL26-56000-C,2026-07-24,56000,call,0.11133728,0.108,0.116,46.46,,,,,0.1,0.0,62823.76
2026-07-13 04:02:17,deribit,BTC,BTC-26MAR27-55000-P,2027-03-26,55000,put,0.07829821,0.0775,0.079,45.52,,,,,1350.7,5.0,64499.25
2026-07-13 04:02:17,deribit,BTC,BTC-31JUL26-84000-C,2026-07-31,84000,call,9.869e-05,,0.0001,46.79,,,,,691.1,0.3,62855.72
2026-07-13 04:02:17,deribit,BTC,BTC-17JUL26-61000-C,2026-07-17,61000,call,0.03509969,0.0325,0.0385,40.79,,,,,197.4,42.2,62793.85
2026-07-13 04:02:17,deribit,BTC,BTC-25JUN27-150000-C,2027-06-25,150000,call,0.00598203,0.0055,0.0065,43.59,,,,,81.7,0.1,65186.82
2026-07-13 04:02:17,deribit,BTC,BTC-25SEP26-58000-C,2026-09-25,58000,call,0.11906043,0.1175,0.1205,40.58,,,,,486.9,0.1,63253.58
2026-07-13 04:02:17,deribit,BTC,BTC-28AUG26-59000-P,2026-08-28,59000,put,0.02797854,0.0275,0.0285,39.45,,,,,449.9,1.0,63042.21
2026-07-13 04:02:17,deribit,BTC,BTC-26MAR27-106000-P,2027-03-26,106000,put,0.65738952,0.6495,0.6645,40.71,,,,,0.0,0.0,64499.25
