snapshot_utc,exchange,underlying,instrument,expiry,strike,type,mark_price,bid,ask,mark_iv,delta,gamma,vega,theta,open_interest,volume_24h,underlying_price
2026-07-04 12:22:16,deribit,BTC,BTC-28AUG26-105000-C,2026-08-28,105000,call,0.00028666,0.0002,0.0005,49.62,,,,,161.3,0.0,62795.51
2026-07-04 12:22:16,deribit,BTC,BTC-25SEP26-300000-P,2026-09-25,300000,put,3.76188539,3.601,3.9345,84.97,,,,,0.0,0.0,63000.96
2026-07-04 12:22:16,deribit,BTC,BTC-28AUG26-48000-C,2026-08-28,48000,call,0.24262412,0.239,0.2465,51.2,,,,,37.5,0.0,62795.51
2026-07-04 12:22:16,deribit,BTC,BTC-24JUL26-56000-P,2026-07-24,56000,put,0.00742673,0.007,0.0075,45.16,,,,,23.3,3.8,62587.06
2026-07-04 12:22:16,deribit,BTC,BTC-5JUL26-66000-P,2026-07-05,66000,put,0.05592641,0.05,0.094,40.09,,,,,0.0,0.0,62510.16
2026-07-04 12:22:16,deribit,BTC,BTC-6JUL26-67000-P,2026-07-06,67000,put,0.07193527,0.0355,0.1105,37.99,,,,,0.0,0.0,62510.16
2026-07-04 12:22:16,deribit,BTC,BTC-25DEC26-210000-P,2026-12-25,210000,put,2.29898228,2.1875,2.422,60.54,,,,,0.0,0.0,63665.61
2026-07-04 12:22:16,deribit,BTC,BTC-25SEP26-35000-P,2026-09-25,35000,put,0.00314969,0.003,0.0032,67.48,,,,,846.7,1.4,63000.78
2026-07-04 12:22:16,deribit,BTC,BTC-10JUL26-48000-C,2026-07-10,48000,call,0.23230594,0.205,0.2585,70.03,,,,,0.0,0.0,62523.14
2026-07-04 12:22:16,deribit,BTC,BTC-25SEP26-64000-P,2026-09-25,64000,put,0.08206425,0.081,0.0825,38.62,,,,,482.4,1.4,63000.96
2026-07-04 12:22:16,deribit,BTC,BTC-25SEP26-135000-P,2026-09-25,135000,put,1.14309847,1.0705,1.223,56.26,,,,,11.5,0.0,63000.78
2026-07-04 12:22:16,deribit,BTC,BTC-28AUG26-56000-P,2026-08-28,56000,put,0.02309108,0.0225,0.0235,43.14,,,,,655.0,462.3,62795.51
2026-07-04 12:22:16,deribit,BTC,BTC-25DEC26-80000-C,2026-12-25,80000,call,0.03522177,0.035,0.0355,40.0,,,,,6873.8,83.1,63665.82
2026-07-04 12:22:16,deribit,BTC,BTC-25DEC26-105000-P,2026-12-25,105000,put,0.65478818,0.6455,0.668,40.94,,,,,109.4,0.0,63665.82
2026-07-04 12:22:16,deribit,BTC,BTC-6JUL26-54000-P,2026-07-06,54000,put,1.53e-06,,0.0001,57.71,,,,,75.3,0.0,62510.16
2026-07-04 12:22:16,deribit,BTC,BTC-25DEC26-200000-P,2026-12-25,200000,put,2.14198122,2.0355,2.2595,59.21,,,,,0.0,0.0,63665.61
2026-07-04 12:22:16,deribit,BTC,BTC-31JUL26-115000-C,2026-07-31,115000,call,7.597e-05,,0.0001,72.75,,,,,182.3,0.0,62627.14
2026-07-04 12:22:16,deribit,BTC,BTC-6JUL26-57000-C,2026-07-06,57000,call,0.08810955,0.0835,0.119,45.6,,,,,0.0,0.0,62510.16
2026-07-04 12:22:16,deribit,BTC,BTC-26MAR27-60000-C,2027-03-26,60000,call,0.18070269,0.1785,0.182,44.35,,,,,720.6,0.0,64307.92
2026-07-04 12:22:16,deribit,BTC,BTC-25DEC26-170000-P,2026-12-25,170000,put,1.67094398,1.58,1.7725,53.51,,,,,0.0,0.0,63665.82
2026-07-04 12:22:16,deribit,BTC,BTC-28AUG26-63000-C,2026-08-28,63000,call,0.05736548,0.057,0.058,38.12,,,,,528.6,8.9,62795.51
2026-07-04 12:22:16,deribit,BTC,BTC-17JUL26-58000-P,2026-07-17,58000,put,0.00747242,0.007,0.0075,43.44,,,,,171.8,34.6,62550.87
2026-07-04 12:22:16,deribit,BTC,BTC-25DEC26-72000-C,2026-12-25,72000,call,0.06398189,0.063,0.065,40.44,,,,,1103.1,0.1,63665.82
2026-07-04 12:22:16,deribit,BTC,BTC-10JUL26-52000-C,2026-07-10,52000,call,0.16848949,0.164,0.1985,60.85,,,,,0.0,0.0,62523.14
2026-07-04 12:22:16,deribit,BTC,BTC-25SEP26-78000-C,2026-09-25,78000,call,0.00998018,0.0095,0.01,36.27,,,,,3963.1,302.8,63000.96
2026-07-04 12:22:16,deribit,BTC,BTC-10JUL26-65000-C,2026-07-10,65000,call,0.00463934,0.0044,0.0048,34.83,,,,,1195.8,180.3,62523.14
2026-07-04 12:22:16,deribit,BTC,BTC-25DEC26-40000-P,2026-12-25,40000,put,0.0172493,0.017,0.0175,56.36,,,,,4217.0,1.6,63665.82
2026-07-04 12:22:16,deribit,BTC,BTC-6JUL26-64500-P,2026-07-06,64500,put,0.0323666,0.013,0.0695,27.88,,,,,0.0,0.0,62510.16
2026-07-04 12:22:16,deribit,BTC,BTC-17JUL26-66000-P,2026-07-17,66000,put,0.06219022,0.058,0.103,33.54,,,,,14.0,0.0,62550.77
2026-07-04 12:22:16,deribit,BTC,BTC-25DEC26-135000-C,2026-12-25,135000,call,0.00143474,0.0012,0.0017,46.26,,,,,1044.9,0.0,63665.82
2026-07-04 12:22:16,deribit,BTC,BTC-10JUL26-75000-C,2026-07-10,75000,call,0.00014325,,0.0002,56.95,,,,,112.3,21.5,62523.14
2026-07-04 12:22:16,deribit,BTC,BTC-31JUL26-81000-C,2026-07-31,81000,call,0.00034033,0.0003,0.0004,39.68,,,,,1414.8,4.4,62627.14
2026-07-04 12:22:16,deribit,BTC,BTC-5JUL26-62500-C,2026-07-05,62500,call,0.00370797,0.0035,0.0039,19.42,,,,,174.8,172.4,62510.16
2026-07-04 12:22:16,deribit,BTC,BTC-28AUG26-66000-P,2026-08-28,66000,put,0.08699365,0.0835,0.092,36.58,,,,,147.3,0.0,62795.51
2026-07-04 12:22:16,deribit,BTC,BTC-31JUL26-77000-C,2026-07-31,77000,call,0.0006947,0.0006,0.0008,36.22,,,,,1642.0,104.0,62626.93
2026-07-04 12:22:16,deribit,BTC,BTC-25DEC26-104000-P,2026-12-25,104000,put,0.63953709,0.581,0.7095,40.94,,,,,0.0,0.0,63665.82
2026-07-04 12:22:16,deribit,BTC,BTC-6JUL26-59500-P,2026-07-06,59500,put,0.00014202,0.0001,0.0002,33.05,,,,,128.4,33.5,62510.16
2026-07-04 12:22:16,deribit,BTC,BTC-24JUL26-68000-C,2026-07-24,68000,call,0.00622161,0.006,0.0065,33.89,,,,,131.7,10.7,62587.23
