snapshot_utc,exchange,underlying,instrument,expiry,strike,type,mark_price,bid,ask,mark_iv,delta,gamma,vega,theta,open_interest,volume_24h,underlying_price
2026-07-12 04:00:07,deribit,BTC,BTC-28AUG26-46000-P,2026-08-28,46000,put,0.00302003,0.0028,0.0032,55.11,,,,,390.1,2.8,64472.34
2026-07-12 04:00:07,deribit,BTC,BTC-25JUN27-80000-C,2027-06-25,80000,call,0.09499643,0.0935,0.0965,41.75,,,,,51.6,16.0,66692.0
2026-07-12 04:00:07,deribit,BTC,BTC-26MAR27-140000-C,2027-03-26,140000,call,0.00364894,0.0032,0.0041,43.26,,,,,756.1,0.0,65984.82
2026-07-12 04:00:07,deribit,BTC,BTC-31JUL26-50000-C,2026-07-31,50000,call,0.22304899,0.1945,0.252,53.67,,,,,3.4,0.1,64287.78
2026-07-12 04:00:07,deribit,BTC,BTC-12JUL26-63500-P,2026-07-12,63500,put,0.00015328,0.0001,0.0003,31.28,,,,,208.4,71.7,64184.45
2026-07-12 04:00:07,deribit,BTC,BTC-13JUL26-60000-C,2026-07-13,60000,call,0.06531109,0.0315,0.097,47.33,,,,,0.1,0.1,64184.45
2026-07-12 04:00:07,deribit,BTC,BTC-15JUL26-60000-P,2026-07-15,60000,put,0.0007579,0.0007,0.0009,43.39,,,,,60.1,60.1,64184.45
2026-07-12 04:00:07,deribit,BTC,BTC-25DEC26-62000-C,2026-12-25,62000,call,0.13702561,0.135,0.138,42.03,,,,,169.7,0.2,65305.26
2026-07-12 04:00:07,deribit,BTC,BTC-25JUN27-82000-C,2027-06-25,82000,call,0.08706778,0.0855,0.0885,41.62,,,,,22.3,0.0,66692.0
2026-07-12 04:00:07,deribit,BTC,BTC-25JUN27-110000-C,2027-06-25,110000,call,0.02602729,0.0245,0.027,41.15,,,,,51.9,0.1,66690.44
2026-07-12 04:00:07,deribit,BTC,BTC-25SEP26-30000-C,2026-09-25,30000,call,0.53765641,0.5355,0.5385,79.83,,,,,107.3,0.0,64680.31
2026-07-12 04:00:07,deribit,BTC,BTC-31JUL26-108000-P,2026-07-31,108000,put,0.67999597,0.625,0.742,66.12,,,,,0.0,0.0,64287.78
2026-07-12 04:00:07,deribit,BTC,BTC-12JUL26-62000-C,2026-07-12,62000,call,0.03403345,0.029,0.0375,50.9,,,,,29.4,0.1,64184.45
2026-07-12 04:00:07,deribit,BTC,BTC-25JUN27-85000-P,2027-06-25,85000,put,0.35074834,0.34,0.3625,41.41,,,,,3.6,0.9,66692.0
2026-07-12 04:00:07,deribit,BTC,BTC-31JUL26-73000-C,2026-07-31,73000,call,0.00146567,0.0013,0.0015,32.67,,,,,2054.1,1.1,64287.78
2026-07-12 04:00:07,deribit,BTC,BTC-26MAR27-108000-C,2027-03-26,108000,call,0.01380552,0.013,0.0145,40.27,,,,,57.0,0.1,65985.23
2026-07-12 04:00:07,deribit,BTC,BTC-12JUL26-59000-C,2026-07-12,59000,call,0.08077176,0.0475,0.1115,52.21,,,,,0.1,0.1,64184.45
2026-07-12 04:00:07,deribit,BTC,BTC-25SEP26-170000-C,2026-09-25,170000,call,0.000129,,0.0002,68.49,,,,,351.3,0.8,64678.75
2026-07-12 04:00:07,deribit,BTC,BTC-25DEC26-60000-C,2026-12-25,60000,call,0.1553846,0.1535,0.1575,42.78,,,,,787.1,0.0,65305.26
2026-07-12 04:00:07,deribit,BTC,BTC-25SEP26-190000-P,2026-09-25,190000,put,1.93767648,1.8385,2.0455,72.81,,,,,0.0,0.0,64678.75
2026-07-12 04:00:07,deribit,BTC,BTC-31JUL26-98000-C,2026-07-31,98000,call,5.53e-05,,0.0001,60.4,,,,,1189.3,0.0,64287.78
2026-07-12 04:00:07,deribit,BTC,BTC-28AUG26-73000-C,2026-08-28,73000,call,0.0091209,0.0085,0.009,32.46,,,,,543.6,200.2,64471.95
2026-07-12 04:00:07,deribit,BTC,BTC-12JUL26-60000-C,2026-07-12,60000,call,0.06519162,0.0315,0.0965,52.08,,,,,0.1,0.1,64184.45
2026-07-12 04:00:07,deribit,BTC,BTC-24JUL26-64000-P,2026-07-24,64000,put,0.02172565,0.021,0.022,32.41,,,,,68.2,11.7,64243.12
2026-07-12 04:00:07,deribit,BTC,BTC-17JUL26-63000-C,2026-07-17,63000,call,0.02732054,0.0265,0.028,34.35,,,,,1074.8,5.3,64214.08
2026-07-12 04:00:07,deribit,BTC,BTC-24JUL26-56000-C,2026-07-24,56000,call,0.12965791,0.0975,0.1615,44.18,,,,,0.1,0.2,64243.12
2026-07-12 04:00:07,deribit,BTC,BTC-12JUL26-60000-P,2026-07-12,60000,put,0.0,,0.0001,52.08,,,,,154.9,0.2,64184.45
2026-07-12 04:00:07,deribit,BTC,BTC-26MAR27-55000-P,2027-03-26,55000,put,0.07124005,0.07,0.0725,45.65,,,,,1347.3,0.0,65984.82
2026-07-12 04:00:07,deribit,BTC,BTC-31JUL26-84000-C,2026-07-31,84000,call,9.9e-05,0.0001,0.0002,42.41,,,,,690.9,0.0,64287.78
2026-07-12 04:00:07,deribit,BTC,BTC-17JUL26-61000-C,2026-07-17,61000,call,0.05285058,0.049,0.056,37.98,,,,,195.2,3.5,64212.52
2026-07-12 04:00:07,deribit,BTC,BTC-25JUN27-150000-C,2027-06-25,150000,call,0.00624818,0.0055,0.007,42.91,,,,,81.6,2.2,66692.0
2026-07-12 04:00:07,deribit,BTC,BTC-25SEP26-58000-C,2026-09-25,58000,call,0.1330541,0.128,0.1365,40.62,,,,,486.9,0.1,64680.31
2026-07-12 04:00:07,deribit,BTC,BTC-28AUG26-59000-P,2026-08-28,59000,put,0.02133634,0.021,0.022,38.93,,,,,449.9,2.0,64471.95
2026-07-12 04:00:07,deribit,BTC,BTC-26MAR27-106000-P,2027-03-26,106000,put,0.62188979,0.561,0.6995,40.26,,,,,0.0,0.0,65984.82
2026-07-12 04:00:07,deribit,BTC,BTC-12JUL26-65500-P,2026-07-12,65500,put,0.0205334,0.013,0.0575,41.55,,,,,0.0,0.0,64184.45
2026-07-12 04:00:07,deribit,BTC,BTC-13JUL26-63000-C,2026-07-13,63000,call,0.0198517,0.0155,0.0235,31.43,,,,,100.1,0.0,64184.45
2026-07-12 04:00:07,deribit,BTC,BTC-28AUG26-105000-C,2026-08-28,105000,call,0.00018217,0.0001,0.0003,48.82,,,,,160.7,0.8,64472.34
2026-07-12 04:00:07,deribit,BTC,BTC-25SEP26-300000-P,2026-09-25,300000,put,3.6383128,3.4815,3.8065,84.97,,,,,0.0,0.0,64680.31
2026-07-12 04:00:07,deribit,BTC,BTC-12JUL26-61000-P,2026-07-12,61000,put,1e-08,,0.0001,52.08,,,,,80.7,2.8,64184.45
2026-07-12 04:00:07,deribit,BTC,BTC-28AUG26-48000-C,2026-08-28,48000,call,0.25945161,0.2555,0.2625,52.07,,,,,37.5,0.0,64472.34
2026-07-12 04:00:07,deribit,BTC,BTC-24JUL26-56000-P,2026-07-24,56000,put,0.00136852,0.0012,0.0015,44.18,,,,,551.3,1.3,64243.12
2026-07-12 04:00:07,deribit,BTC,BTC-12JUL26-63000-C,2026-07-12,63000,call,0.01853375,0.0135,0.022,43.94,,,,,99.3,0.8,64184.45
2026-07-12 04:00:07,deribit,BTC,BTC-25DEC26-210000-P,2026-12-25,210000,put,2.21594699,2.107,2.335,56.41,,,,,0.0,0.0,65303.7
2026-07-12 04:00:07,deribit,BTC,BTC-25SEP26-35000-P,2026-09-25,35000,put,0.00238068,0.0023,0.0024,70.17,,,,,855.1,10.3,64678.75
2026-07-12 04:00:07,deribit,BTC,BTC-25SEP26-64000-P,2026-09-25,64000,put,0.06156548,0.06,0.0625,37.07,,,,,519.0,10.1,64680.31
2026-07-12 04:00:07,deribit,BTC,BTC-25SEP26-135000-P,2026-09-25,135000,put,1.08741891,1.017,1.1645,55.48,,,,,11.5,0.0,64678.75
2026-07-12 04:00:07,deribit,BTC,BTC-13JUL26-65500-C,2026-07-13,65500,call,0.00106296,0.0009,0.0012,30.75,,,,,226.3,235.1,64184.45
2026-07-12 04:00:07,deribit,BTC,BTC-28AUG26-56000-P,2026-08-28,56000,put,0.01324032,0.0125,0.0135,41.96,,,,,692.6,0.9,64471.95
2026-07-12 04:00:07,deribit,BTC,BTC-25DEC26-80000-C,2026-12-25,80000,call,0.03658269,0.036,0.0365,38.98,,,,,7196.4,11.3,65305.26
2026-07-12 04:00:07,deribit,BTC,BTC-25DEC26-105000-P,2026-12-25,105000,put,0.6130491,0.603,0.624,39.73,,,,,109.4,0.0,65305.26
2026-07-12 04:00:07,deribit,BTC,BTC-25DEC26-200000-P,2026-12-25,200000,put,2.06291965,1.9595,2.177,56.34,,,,,0.0,0.0,65303.7
2026-07-12 04:00:07,deribit,BTC,BTC-31JUL26-115000-C,2026-07-31,115000,call,1.361e-05,,0.0001,72.75,,,,,182.3,0.0,64287.78
2026-07-12 04:00:07,deribit,BTC,BTC-13JUL26-64500-C,2026-07-13,64500,call,0.00438222,0.004,0.0046,28.84,,,,,112.0,5.6,64184.45
2026-07-12 04:00:07,deribit,BTC,BTC-26MAR27-60000-C,2027-03-26,60000,call,0.18960011,0.1875,0.191,43.94,,,,,719.9,0.0,65984.82
2026-07-12 04:00:07,deribit,BTC,BTC-25DEC26-170000-P,2026-12-25,170000,put,1.60380318,1.5165,1.702,52.35,,,,,0.0,0.0,65305.26
2026-07-12 04:00:07,deribit,BTC,BTC-28AUG26-63000-C,2026-08-28,63000,call,0.06320049,0.062,0.064,35.98,,,,,553.2,26.2,64472.34
2026-07-12 04:00:07,deribit,BTC,BTC-17JUL26-58000-P,2026-07-17,58000,put,0.00057314,0.0005,0.0007,45.16,,,,,1306.3,105.0,64214.08
2026-07-12 04:00:07,deribit,BTC,BTC-12JUL26-69000-C,2026-07-12,69000,call,0.0,,0.0001,42.19,,,,,1.0,0.0,64184.45
2026-07-12 04:00:07,deribit,BTC,BTC-15JUL26-66000-C,2026-07-15,66000,call,0.00279579,0.0025,0.0029,31.6,,,,,15.3,15.3,64184.45
2026-07-12 04:00:07,deribit,BTC,BTC-15JUL26-69000-P,2026-07-15,69000,put,0.0749765,0.069,0.115,37.67,,,,,0.0,0.0,64184.45
2026-07-12 04:00:07,deribit,BTC,BTC-25DEC26-72000-C,2026-12-25,72000,call,0.06790451,0.067,0.069,39.65,,,,,1103.9,0.1,65305.26
2026-07-12 04:00:07,deribit,BTC,BTC-25SEP26-78000-C,2026-09-25,78000,call,0.00951515,0.009,0.0095,34.31,,,,,3896.0,356.8,64680.31
2026-07-12 04:00:07,deribit,BTC,BTC-14JUL26-58000-P,2026-07-14,58000,put,4.304e-05,,0.0002,49.48,,,,,20.1,13.1,64184.45
2026-07-12 04:00:07,deribit,BTC,BTC-12JUL26-61000-C,2026-07-12,61000,call,0.04961148,0.0155,0.0815,52.08,,,,,0.0,0.0,64184.45
2026-07-12 04:00:07,deribit,BTC,BTC-25DEC26-40000-P,2026-12-25,40000,put,0.01471095,0.0145,0.015,57.47,,,,,4116.5,2.2,65305.26
2026-07-12 04:00:07,deribit,BTC,BTC-17JUL26-66000-P,2026-07-17,66000,put,0.03312554,0.0065,0.0705,31.94,,,,,15.2,0.5,64212.52
