snapshot_utc,exchange,underlying,instrument,expiry,strike,type,mark_price,bid,ask,mark_iv,delta,gamma,vega,theta,open_interest,volume_24h,underlying_price
2026-07-31 03:52:40,deribit,BTC,BTC-2AUG26-72000-P,2026-08-02,72000,put,0.11973559,0.0825,0.1605,47.92,,,,,0.0,0.0,64301.43
2026-07-31 03:52:40,deribit,BTC,BTC-28AUG26-46000-P,2026-08-28,46000,put,0.00089445,0.0008,0.001,58.12,,,,,836.3,217.3,64504.73
2026-07-31 03:52:40,deribit,BTC,BTC-25JUN27-80000-C,2027-06-25,80000,call,0.09013098,0.089,0.0915,41.51,,,,,63.5,0.3,66772.42
2026-07-31 03:52:40,deribit,BTC,BTC-2AUG26-65500-P,2026-08-02,65500,put,0.02055744,0.0001,0.0565,25.82,,,,,0.1,0.1,64301.43
2026-07-31 03:52:40,deribit,BTC,BTC-26MAR27-140000-C,2027-03-26,140000,call,0.00353301,0.0031,0.004,44.69,,,,,756.5,0.0,66034.24
2026-07-31 03:52:40,deribit,BTC,BTC-7AUG26-67000-C,2026-08-07,67000,call,0.00446177,0.0042,0.0047,31.59,,,,,1215.3,639.0,64355.73
2026-07-31 03:52:40,deribit,BTC,BTC-31JUL26-50000-C,2026-07-31,50000,call,0.22249369,0.1945,0.2485,102.26,,,,,3.4,0.0,64308.52
2026-07-31 03:52:40,deribit,BTC,BTC-25DEC26-62000-C,2026-12-25,62000,call,0.12853268,0.127,0.1305,40.89,,,,,241.1,0.1,65376.01
2026-07-31 03:52:40,deribit,BTC,BTC-30OCT26-71000-P,2026-10-30,71000,put,0.1313305,0.1285,0.1345,36.43,,,,,0.0,0.0,64952.9
2026-07-31 03:52:40,deribit,BTC,BTC-25JUN27-82000-C,2027-06-25,82000,call,0.08223417,0.081,0.0835,41.37,,,,,23.4,0.1,66772.42
2026-07-31 03:52:40,deribit,BTC,BTC-25JUN27-110000-C,2027-06-25,110000,call,0.02498234,0.024,0.026,41.78,,,,,163.9,0.0,66772.02
2026-07-31 03:52:40,deribit,BTC,BTC-25SEP26-30000-C,2026-09-25,30000,call,0.537261,0.536,0.5385,84.63,,,,,132.4,0.1,64722.45
2026-07-31 03:52:40,deribit,BTC,BTC-31JUL26-108000-P,2026-07-31,108000,put,0.67941362,0.6235,0.7405,71.85,,,,,0.0,0.0,64308.52
2026-07-31 03:52:40,deribit,BTC,BTC-25JUN27-85000-P,2027-06-25,85000,put,0.34518226,0.341,0.3485,41.34,,,,,5.5,1.0,66772.42
2026-07-31 03:52:40,deribit,BTC,BTC-31JUL26-66500-C,2026-07-31,66500,call,2e-08,,0.0001,36.9,,,,,205.4,95.7,64308.52
2026-07-31 03:52:40,deribit,BTC,BTC-31JUL26-73000-C,2026-07-31,73000,call,0.0,,0.0001,71.75,,,,,2027.9,1.1,64308.52
2026-07-31 03:52:40,deribit,BTC,BTC-26MAR27-108000-C,2027-03-26,108000,call,0.01314189,0.0125,0.0135,41.32,,,,,57.0,0.0,66033.82
2026-07-31 03:52:40,deribit,BTC,BTC-14AUG26-70000-C,2026-08-14,70000,call,0.0027497,0.0025,0.003,31.67,,,,,1060.4,86.7,64407.21
2026-07-31 03:52:40,deribit,BTC,BTC-25SEP26-170000-C,2026-09-25,170000,call,3.391e-05,,0.0002,71.63,,,,,359.5,0.0,64722.05
2026-07-31 03:52:40,deribit,BTC,BTC-25DEC26-60000-C,2026-12-25,60000,call,0.14698032,0.145,0.149,41.55,,,,,785.7,0.0,65376.01
2026-07-31 03:52:40,deribit,BTC,BTC-25SEP26-190000-P,2026-09-25,190000,put,1.93563631,1.8365,2.042,72.81,,,,,0.0,0.0,64722.05
2026-07-31 03:52:40,deribit,BTC,BTC-31JUL26-98000-C,2026-07-31,98000,call,0.0,,0.0001,71.84,,,,,1159.8,0.0,64308.52
2026-07-31 03:52:40,deribit,BTC,BTC-28AUG26-73000-C,2026-08-28,73000,call,0.0035208,0.0034,0.0037,31.98,,,,,1805.2,90.8,64504.33
2026-07-31 03:52:40,deribit,BTC,BTC-1AUG26-62500-P,2026-08-01,62500,put,0.00070689,0.0006,0.0008,35.64,,,,,177.8,26.7,64301.03
2026-07-31 03:52:40,deribit,BTC,BTC-26MAR27-55000-P,2027-03-26,55000,put,0.06345334,0.0625,0.0645,44.48,,,,,1354.1,0.1,66034.24
2026-07-31 03:52:40,deribit,BTC,BTC-31JUL26-84000-C,2026-07-31,84000,call,0.0,,0.0001,71.83,,,,,737.2,0.0,64308.52
2026-07-31 03:52:40,deribit,BTC,BTC-25JUN27-150000-C,2027-06-25,150000,call,0.00698655,0.0065,0.0075,44.91,,,,,87.7,0.1,66772.42
2026-07-31 03:52:40,deribit,BTC,BTC-3AUG26-65000-C,2026-08-03,65000,call,0.00547805,0.005,0.006,26.39,,,,,246.7,252.1,64301.43
2026-07-31 03:52:40,deribit,BTC,BTC-25SEP26-58000-C,2026-09-25,58000,call,0.12477421,0.1215,0.1275,39.73,,,,,460.8,0.0,64722.45
2026-07-31 03:52:40,deribit,BTC,BTC-30OCT26-54000-C,2026-10-30,54000,call,0.19007168,0.1875,0.2015,43.26,,,,,0.0,0.0,64952.9
2026-07-31 03:52:40,deribit,BTC,BTC-28AUG26-59000-P,2026-08-28,59000,put,0.01149303,0.011,0.012,38.4,,,,,794.9,217.4,64504.33
2026-07-31 03:52:40,deribit,BTC,BTC-3AUG26-69000-C,2026-08-03,69000,call,0.00018269,0.0001,0.0003,34.83,,,,,37.1,37.1,64301.43
2026-07-31 03:52:40,deribit,BTC,BTC-30OCT26-82000-P,2026-10-30,82000,put,0.2720008,0.2665,0.2775,36.28,,,,,0.0,0.0,64952.9
2026-07-31 03:52:40,deribit,BTC,BTC-26MAR27-106000-P,2027-03-26,106000,put,0.61998291,0.613,0.67,41.32,,,,,0.1,0.1,66034.24
2026-07-31 03:52:40,deribit,BTC,BTC-2AUG26-61500-P,2026-08-02,61500,put,0.00039355,0.0003,0.0005,32.86,,,,,258.0,279.8,64301.43
2026-07-31 03:52:40,deribit,BTC,BTC-28AUG26-105000-C,2026-08-28,105000,call,0.0001764,0.0001,0.0002,62.91,,,,,169.2,0.0,64504.33
2026-07-31 03:52:40,deribit,BTC,BTC-25SEP26-300000-P,2026-09-25,300000,put,3.63520075,3.478,3.8025,84.97,,,,,0.0,0.0,64722.45
2026-07-31 03:52:40,deribit,BTC,BTC-28AUG26-48000-C,2026-08-28,48000,call,0.25713923,0.2535,0.2605,54.61,,,,,37.5,0.0,64504.33
2026-07-31 03:52:40,deribit,BTC,BTC-30OCT26-54000-P,2026-10-30,54000,put,0.02144616,0.021,0.022,43.26,,,,,0.1,0.1,64952.9
2026-07-31 03:52:40,deribit,BTC,BTC-25DEC26-210000-P,2026-12-25,210000,put,2.21235879,2.104,2.3305,58.51,,,,,0.0,0.0,65375.61
2026-07-31 03:52:40,deribit,BTC,BTC-1AUG26-66500-P,2026-08-01,66500,put,0.03433129,0.0125,0.0725,33.24,,,,,0.0,0.0,64301.03
2026-07-31 03:52:40,deribit,BTC,BTC-25SEP26-35000-P,2026-09-25,35000,put,0.00124058,0.0011,0.0013,73.47,,,,,894.5,108.0,64722.05
2026-07-31 03:52:40,deribit,BTC,BTC-25SEP26-64000-P,2026-09-25,64000,put,0.05044591,0.05,0.051,35.91,,,,,622.4,14.2,64722.45
2026-07-31 03:52:40,deribit,BTC,BTC-25SEP26-135000-P,2026-09-25,135000,put,1.08601961,1.0155,1.164,64.08,,,,,11.5,0.0,64722.05
2026-07-31 03:52:40,deribit,BTC,BTC-28AUG26-56000-P,2026-08-28,56000,put,0.00598602,0.0055,0.0065,42.08,,,,,790.3,11.1,64504.33
2026-07-31 03:52:40,deribit,BTC,BTC-25DEC26-80000-C,2026-12-25,80000,call,0.03162121,0.0315,0.032,38.85,,,,,7919.9,41.2,65376.01
2026-07-31 03:52:40,deribit,BTC,BTC-25DEC26-105000-P,2026-12-25,105000,put,0.61077289,0.601,0.6215,41.36,,,,,109.4,0.1,65376.01
2026-07-31 03:52:40,deribit,BTC,BTC-2AUG26-59000-C,2026-08-02,59000,call,0.08256004,0.049,0.1145,47.49,,,,,0.0,0.0,64301.43
2026-07-31 03:52:40,deribit,BTC,BTC-25DEC26-200000-P,2026-12-25,200000,put,2.05944019,1.956,2.1725,57.56,,,,,0.0,0.0,65375.61
2026-07-31 03:52:40,deribit,BTC,BTC-31JUL26-115000-C,2026-07-31,115000,call,0.0,,0.0001,72.85,,,,,182.3,0.0,64308.52
2026-07-31 03:52:40,deribit,BTC,BTC-3AUG26-63500-C,2026-08-03,63500,call,0.01795821,0.017,0.0185,27.98,,,,,0.0,0.0,64301.43
2026-07-31 03:52:40,deribit,BTC,BTC-30OCT26-64000-P,2026-10-30,64000,put,0.0679443,0.067,0.0685,37.98,,,,,9.0,9.0,64952.9
2026-07-31 03:52:40,deribit,BTC,BTC-30OCT26-75000-C,2026-10-30,75000,call,0.02346196,0.023,0.024,36.16,,,,,3.3,3.4,64952.9
2026-07-31 03:52:40,deribit,BTC,BTC-1AUG26-66500-C,2026-08-01,66500,call,0.00028938,0.0002,0.0004,33.24,,,,,86.7,45.1,64301.03
2026-07-31 03:52:40,deribit,BTC,BTC-26MAR27-60000-C,2027-03-26,60000,call,0.18181587,0.1805,0.1835,42.87,,,,,718.8,0.1,66034.24
2026-07-31 03:52:40,deribit,BTC,BTC-25DEC26-170000-P,2026-12-25,170000,put,1.6007629,1.5125,1.6975,53.63,,,,,0.0,0.0,65376.01
2026-07-31 03:52:40,deribit,BTC,BTC-28AUG26-63000-C,2026-08-28,63000,call,0.05079171,0.05,0.0515,34.7,,,,,839.2,0.3,64504.33
2026-07-31 03:52:40,deribit,BTC,BTC-21AUG26-68000-C,2026-08-21,68000,call,0.01121017,0.0105,0.012,31.75,,,,,308.9,320.0,64454.78
2026-07-31 03:52:40,deribit,BTC,BTC-30OCT26-66000-P,2026-10-30,66000,put,0.08348102,0.0825,0.084,37.44,,,,,1.0,1.0,64952.9
2026-07-31 03:52:40,deribit,BTC,BTC-7AUG26-68000-P,2026-08-07,68000,put,0.0589968,0.054,0.0645,31.75,,,,,0.3,0.0,64355.73
