snapshot_utc,exchange,underlying,instrument,expiry,strike,type,mark_price,bid,ask,mark_iv,delta,gamma,vega,theta,open_interest,volume_24h,underlying_price
2026-07-14 03:37:41,okx,BTC,BTC-USD-270326-90000-C,2027-03-26,90000,call,0.0326974796857603,0.032,0.033,0.4037179753361535,0.16870042679869393,0.49539660022331194,0.0023505800487903907,-0.00018593994467323155,3128,0,62428.7
2026-07-14 03:37:41,okx,BTC,BTC-USD-270326-85000-P,2027-03-26,85000,put,0.3696052812558204,0.356,0.3775,0.4042876246941886,-1.1169967255352455,3.1794445721866955,0.0026723116145860766,-0.00021168842521425418,493,0,62428.7
2026-07-14 03:37:41,okx,BTC,BTC-USD-270326-85000-C,2027-03-26,85000,call,0.0436231298309917,0.043,0.044,0.4042876246941886,0.20911782338399157,0.5272154743482211,0.0026723116145860766,-0.00021168842521425418,4139,0,62428.7
2026-07-14 03:37:41,okx,BTC,BTC-USD-270326-80000-P,2027-03-26,80000,put,0.3062719333989218,0.298,0.314,0.4062810863162458,-0.9916673205318296,3.02863163882439,0.0029690935285643883,-0.00023635785966583965,2523,0,62428.7
2026-07-14 03:37:41,okx,BTC,BTC-USD-260714-65250-P,2026-07-14,65250,put,0.0454186051890074,0.0435,0.047,0.8060344195661342,-1.0385834945055825,3.1506044055553732,0.000004319827202557517,-0.00017409647059197226,148,0,62428.7
2026-07-14 03:37:41,okx,BTC,BTC-USD-270326-100000-C,2027-03-26,100000,call,0.018703093433953,0.0185,0.019,0.4059533550668972,0.10831946276420662,0.39662002335227425,0.0017405143157137911,-0.00013844373262762724,59459,140,62428.7
2026-07-14 03:37:41,okx,BTC,BTC-USD-260714-65250-C,2026-07-14,65250,call,0.0000404588726801,,0.0001,0.8060344195661342,0.006896825387768625,1.0596437657686713,0.000004319827202557517,-0.00017409647059197226,1077,401,62428.7
2026-07-14 03:37:41,okx,BTC,BTC-USD-270326-95000-P,2027-03-26,95000,put,0.5066115080836902,0.4885,0.5215,0.4043374954444455,-1.3468349091843188,3.41309695322011,0.0020337070830785784,-0.00016112093855111397,3,0,62428.7
2026-07-14 03:37:41,okx,BTC,BTC-USD-270326-95000-C,2027-03-26,95000,call,0.0246314564912344,0.024,0.025,0.4043374954444455,0.13529311607835792,0.44884090269475646,0.0020337070830785784,-0.00016112093855111397,1326,140,62428.7
2026-07-14 03:37:41,okx,BTC,BTC-USD-270326-90000-P,2027-03-26,90000,put,0.4366785811944025,0.4265,0.4525,0.4037179753361535,-1.235420860292263,3.3036391744052254,0.0023505800487903907,-0.00018593994467323155,4,0,62428.7
