snapshot_utc,exchange,underlying,instrument,expiry,strike,type,mark_price,bid,ask,mark_iv,delta,gamma,vega,theta,open_interest,volume_24h,underlying_price
2026-08-24 01:58:57,deribit,BTC,BTC-25JUN27-150000-P,2027-06-25,150000,put,0.89185752,0.868,0.9085,45.44,,,,,0.1,0.0,79972.94
2026-08-24 01:58:57,deribit,BTC,BTC-25SEP26-120000-P,2026-09-25,120000,put,0.55147778,0.5475,0.5575,63.05,,,,,174.5,0.0,77386.17
2026-08-24 01:58:57,deribit,BTC,BTC-28AUG26-94000-C,2026-08-28,94000,call,0.00026644,0.0002,0.0004,77.38,,,,,275.5,2.4,77062.65
2026-08-24 01:58:57,deribit,BTC,BTC-25JUN27-125000-P,2027-06-25,125000,put,0.59501177,0.5785,0.607,43.31,,,,,0.0,0.0,79975.7
2026-08-24 01:58:57,deribit,BTC,BTC-28AUG26-96000-C,2026-08-28,96000,call,0.00015831,0.0001,0.0003,79.51,,,,,153.6,34.1,77062.65
2026-08-24 01:58:57,deribit,BTC,BTC-30OCT26-84000-P,2026-10-30,84000,put,0.12143287,0.1195,0.122,41.11,,,,,0.7,0.0,77629.04
2026-08-24 01:58:57,deribit,BTC,BTC-26MAR27-82000-C,2027-03-26,82000,call,0.11147345,0.1105,0.1125,41.7,,,,,1070.1,102.5,79068.65
2026-08-24 01:58:57,deribit,BTC,BTC-30OCT26-67000-C,2026-10-30,67000,call,0.15781914,0.1545,0.1625,43.25,,,,,109.3,0.0,77631.8
2026-08-24 01:58:57,deribit,BTC,BTC-25SEP26-55000-C,2026-09-25,55000,call,0.29119138,0.2885,0.293,62.03,,,,,143.7,0.0,77383.41
2026-08-24 01:58:57,deribit,BTC,BTC-24AUG26-67500-C,2026-08-24,67500,call,0.12286515,0.1195,0.125,88.09,,,,,0.0,0.0,76962.14
2026-08-24 01:58:57,deribit,BTC,BTC-26AUG26-73000-P,2026-08-26,73000,put,0.0017131,0.0013,0.0019,51.5,,,,,27.8,27.6,77022.4
2026-08-24 01:58:57,deribit,BTC,BTC-25JUN27-88000-C,2027-06-25,88000,call,0.11383176,0.1125,0.115,41.8,,,,,8.2,0.3,79972.94
2026-08-24 01:58:57,deribit,BTC,BTC-25DEC26-74000-P,2026-12-25,74000,put,0.07048386,0.0695,0.071,42.28,,,,,121.9,0.1,78233.31
2026-08-24 01:58:57,deribit,BTC,BTC-25JUN27-45000-C,2027-06-25,45000,call,0.45353275,0.452,0.455,49.61,,,,,0.5,0.0,79972.94
2026-08-24 01:58:57,deribit,BTC,BTC-25SEP26-74000-C,2026-09-25,74000,call,0.07339244,0.0725,0.0745,41.78,,,,,1621.0,3.4,77386.17
2026-08-24 01:58:57,deribit,BTC,BTC-25JUN27-54000-C,2027-06-25,54000,call,0.3572612,0.3555,0.359,46.2,,,,,0.9,0.0,79972.94
2026-08-24 01:58:57,deribit,BTC,BTC-26AUG26-77000-C,2026-08-26,77000,call,0.01559923,0.015,0.0165,49.67,,,,,0.2,0.1,77019.64
2026-08-24 01:58:57,deribit,BTC,BTC-25DEC26-84000-C,2026-12-25,84000,call,0.06718062,0.0665,0.0675,41.61,,,,,1204.6,0.7,78236.07
2026-08-24 01:58:57,deribit,BTC,BTC-25AUG26-76000-C,2026-08-25,76000,call,0.01911819,0.0185,0.02,50.46,,,,,0.4,0.0,76989.43
2026-08-24 01:58:57,deribit,BTC,BTC-28AUG26-98000-C,2026-08-28,98000,call,0.00011742,,0.0002,83.35,,,,,226.1,33.9,77062.65
2026-08-24 01:58:57,deribit,BTC,BTC-25SEP26-54000-P,2026-09-25,54000,put,0.00174248,0.0015,0.0019,63.7,,,,,632.2,0.0,77386.17
2026-08-24 01:58:57,deribit,BTC,BTC-4SEP26-60000-C,2026-09-04,60000,call,0.22270763,0.22,0.225,66.47,,,,,0.4,0.0,77134.12
2026-08-24 01:58:57,deribit,BTC,BTC-25DEC26-104000-C,2026-12-25,104000,call,0.01869127,0.018,0.0195,43.36,,,,,87.9,1.1,78236.07
2026-08-24 01:58:57,deribit,BTC,BTC-25SEP26-155000-P,2026-09-25,155000,put,1.0031935,0.9975,1.013,80.31,,,,,0.1,0.0,77386.17
2026-08-24 01:58:57,deribit,BTC,BTC-4SEP26-78000-P,2026-09-04,78000,put,0.0376451,0.037,0.038,45.04,,,,,42.0,4.3,77136.88
2026-08-24 01:58:57,deribit,BTC,BTC-25SEP26-105000-C,2026-09-25,105000,call,0.00199286,0.0018,0.0022,53.72,,,,,1209.0,0.3,77386.17
2026-08-24 01:58:57,deribit,BTC,BTC-30OCT26-90000-P,2026-10-30,90000,put,0.18199042,0.176,0.1875,42.09,,,,,0.5,0.1,77631.8
2026-08-24 01:58:57,deribit,BTC,BTC-25JUN27-105000-P,2027-06-25,105000,put,0.37463343,0.3595,0.3855,42.07,,,,,0.1,0.0,79975.7
2026-08-24 01:58:57,deribit,BTC,BTC-24AUG26-78000-C,2026-08-24,78000,call,0.00130285,0.0012,0.0016,54.08,,,,,145.5,104.2,76962.14
2026-08-24 01:58:57,deribit,BTC,BTC-24AUG26-69500-P,2026-08-24,69500,put,2e-08,,0.0001,88.09,,,,,31.1,0.0,76962.14
2026-08-24 01:58:57,deribit,BTC,BTC-25SEP26-82000-P,2026-09-25,82000,put,0.08655085,0.085,0.0875,42.04,,,,,195.1,0.0,77386.17
2026-08-24 01:58:57,deribit,BTC,BTC-26MAR27-112000-P,2027-03-26,112000,put,0.44597564,0.4315,0.4555,43.09,,,,,0.1,0.0,79068.65
2026-08-24 01:58:57,deribit,BTC,BTC-25DEC26-58000-C,2026-12-25,58000,call,0.27522013,0.2715,0.2785,47.38,,,,,40.3,0.0,78236.07
