snapshot_utc,exchange,underlying,instrument,expiry,strike,type,mark_price,bid,ask,mark_iv,delta,gamma,vega,theta,open_interest,volume_24h,underlying_price
2026-08-20 01:53:12,deribit,BTC,BTC-23AUG26-71000-C,2026-08-23,71000,call,0.00597812,0.0055,0.0065,34.78,,,,,117.9,119.3,69709.53
2026-08-20 01:53:12,deribit,BTC,BTC-25JUN27-68000-P,2027-06-25,68000,put,0.12602838,0.125,0.127,43.4,,,,,9.6,0.3,72248.69
2026-08-20 01:53:12,deribit,BTC,BTC-25DEC26-85000-P,2026-12-25,85000,put,0.23268698,0.23,0.2345,39.48,,,,,547.1,2.6,70754.81
2026-08-20 01:53:12,deribit,BTC,BTC-22AUG26-66500-C,2026-08-22,66500,call,0.04688241,0.0455,0.048,40.74,,,,,5.7,3.1,69702.68
2026-08-20 01:53:12,deribit,BTC,BTC-25DEC26-84000-P,2026-12-25,84000,put,0.22118975,0.219,0.2235,39.46,,,,,47.1,0.1,70754.81
2026-08-20 01:53:12,deribit,BTC,BTC-22AUG26-60000-P,2026-08-22,60000,put,4.406e-05,,0.0001,69.11,,,,,10.8,1.7,69702.11
2026-08-20 01:53:12,deribit,BTC,BTC-30OCT26-70000-C,2026-10-30,70000,call,0.06778331,0.067,0.068,37.52,,,,,651.7,225.9,70255.76
2026-08-20 01:53:12,deribit,BTC,BTC-30OCT26-86000-C,2026-10-30,86000,call,0.0094904,0.009,0.0095,37.12,,,,,12.2,1.3,70255.76
2026-08-20 01:53:12,deribit,BTC,BTC-23AUG26-64500-C,2026-08-23,64500,call,0.07508237,0.072,0.079,42.57,,,,,2.0,2.1,69709.53
2026-08-20 01:53:12,deribit,BTC,BTC-22AUG26-58000-P,2026-08-22,58000,put,9.96e-06,,0.0001,73.21,,,,,0.5,0.4,69702.11
2026-08-20 01:53:12,deribit,BTC,BTC-25SEP26-84000-P,2026-09-25,84000,put,0.20389968,0.202,0.206,38.84,,,,,34.7,0.0,70007.07
2026-08-20 01:53:12,deribit,BTC,BTC-23AUG26-62000-P,2026-08-23,62000,put,0.00017844,0.0001,0.0003,54.04,,,,,9.9,11.9,69709.53
2026-08-20 01:53:12,deribit,BTC,BTC-26MAR27-180000-P,2027-03-26,180000,put,1.52015879,1.494,1.5395,49.74,,,,,0.0,0.0,71473.59
2026-08-20 01:53:12,deribit,BTC,BTC-25JUN27-72000-C,2027-06-25,72000,call,0.15776263,0.157,0.159,42.85,,,,,84.8,0.4,72249.34
2026-08-20 01:53:12,deribit,BTC,BTC-4SEP26-69000-P,2026-09-04,69000,put,0.02292572,0.0225,0.0235,35.08,,,,,104.3,104.3,69822.84
2026-08-20 01:53:12,deribit,BTC,BTC-23AUG26-62000-C,2026-08-23,62000,call,0.11073114,0.108,0.1145,54.04,,,,,0.0,0.0,69709.53
2026-08-20 01:53:12,deribit,BTC,BTC-23AUG26-75000-P,2026-08-23,75000,put,0.07685432,0.071,0.08,46.58,,,,,0.0,0.0,69710.02
2026-08-20 01:53:12,deribit,BTC,BTC-25JUN27-110000-P,2027-06-25,110000,put,0.55534871,0.551,0.5585,41.85,,,,,0.3,0.0,72248.69
2026-08-20 01:53:12,deribit,BTC,BTC-25SEP26-150000-C,2026-09-25,150000,call,0.0001127,0.0001,0.0002,79.07,,,,,736.4,0.9,70007.56
2026-08-20 01:53:12,deribit,BTC,BTC-23AUG26-57000-C,2026-08-23,57000,call,0.18230966,0.179,0.186,72.07,,,,,0.0,0.0,69710.02
2026-08-20 01:53:12,deribit,BTC,BTC-25SEP26-165000-P,2026-09-25,165000,put,1.35693225,1.3405,1.367,81.61,,,,,0.0,0.0,70007.07
2026-08-20 01:53:12,deribit,BTC,BTC-25SEP26-60000-C,2026-09-25,60000,call,0.15030085,0.149,0.152,41.97,,,,,855.7,14.6,70007.07
2026-08-20 01:53:12,deribit,BTC,BTC-25SEP26-110000-P,2026-09-25,110000,put,0.57177341,0.569,0.575,58.21,,,,,116.1,0.0,70007.07
2026-08-20 01:53:12,deribit,BTC,BTC-21AUG26-60000-C,2026-08-21,60000,call,0.13900391,0.137,0.1405,91.43,,,,,1.0,0.0,69687.07
2026-08-20 01:53:12,deribit,BTC,BTC-28AUG26-66000-C,2026-08-28,66000,call,0.05825218,0.0575,0.0595,36.62,,,,,1359.0,217.7,69758.86
2026-08-20 01:53:12,deribit,BTC,BTC-25DEC26-130000-C,2026-12-25,130000,call,0.00180916,0.0016,0.0021,46.8,,,,,1583.2,1.7,70754.81
2026-08-20 01:53:12,deribit,BTC,BTC-25SEP26-240000-C,2026-09-25,240000,call,8e-08,,0.0002,81.61,,,,,220.0,10.0,70007.07
2026-08-20 01:53:12,deribit,BTC,BTC-26MAR27-92000-C,2027-03-26,92000,call,0.04199203,0.041,0.043,40.52,,,,,126.4,0.2,71473.59
2026-08-20 01:53:12,deribit,BTC,BTC-25JUN27-58000-P,2027-06-25,58000,put,0.07061477,0.0695,0.0715,45.49,,,,,69.3,4.4,72249.34
2026-08-20 01:53:12,deribit,BTC,BTC-21AUG26-64500-P,2026-08-21,64500,put,0.00014162,0.0001,0.0002,58.69,,,,,140.0,50.7,69687.07
2026-08-20 01:53:12,deribit,BTC,BTC-26MAR27-96000-P,2027-03-26,96000,put,0.37694503,0.3725,0.3795,40.62,,,,,1.6,0.0,71473.59
