snapshot_utc,exchange,underlying,instrument,expiry,strike,type,mark_price,bid,ask,mark_iv,delta,gamma,vega,theta,open_interest,volume_24h,underlying_price
2026-08-26 01:59:59,deribit,BTC,BTC-11SEP26-76000-C,2026-09-11,76000,call,0.05553167,0.0545,0.0565,40.92,,,,,112.8,3.1,78927.95
2026-08-26 01:59:59,deribit,BTC,BTC-29AUG26-76500-P,2026-08-29,76500,put,0.00598396,0.0055,0.0065,45.41,,,,,1.4,1.4,78842.98
2026-08-26 01:59:59,deribit,BTC,BTC-27AUG26-80500-C,2026-08-27,80500,call,0.00321864,0.0029,0.0034,45.28,,,,,21.3,5.8,78811.93
2026-08-26 01:59:59,deribit,BTC,BTC-25JUN27-94000-P,2027-06-25,94000,put,0.25088461,0.249,0.2535,43.2,,,,,0.1,0.0,81960.8
2026-08-26 01:59:59,deribit,BTC,BTC-25DEC26-58000-P,2026-12-25,58000,put,0.01399414,0.0135,0.0145,47.87,,,,,1974.1,6.9,80039.03
2026-08-26 01:59:59,deribit,BTC,BTC-26AUG26-78000-P,2026-08-26,78000,put,0.0008412,0.0007,0.001,38.82,,,,,132.6,163.8,78795.69
2026-08-26 01:59:59,deribit,BTC,BTC-11SEP26-81000-P,2026-09-11,81000,put,0.05043493,0.0495,0.0515,41.98,,,,,28.5,12.7,78927.95
2026-08-26 01:59:59,deribit,BTC,BTC-30OCT26-100000-P,2026-10-30,100000,put,0.27222411,0.2685,0.2755,46.41,,,,,0.0,0.0,79412.71
2026-08-26 01:59:59,deribit,BTC,BTC-11SEP26-85000-P,2026-09-11,85000,put,0.08872435,0.0865,0.091,44.29,,,,,30.3,0.5,78928.71
2026-08-26 01:59:59,deribit,BTC,BTC-28AUG26-105000-P,2026-08-28,105000,put,0.3319418,0.3285,0.335,84.05,,,,,0.3,0.0,78832.18
2026-08-26 01:59:59,deribit,BTC,BTC-25DEC26-220000-C,2026-12-25,220000,call,0.00097009,0.0007,0.0013,67.79,,,,,260.4,0.0,80038.34
2026-08-26 01:59:59,deribit,BTC,BTC-26MAR27-80000-C,2027-03-26,80000,call,0.13419687,0.1335,0.1355,42.63,,,,,965.6,2.2,80926.93
2026-08-26 01:59:59,deribit,BTC,BTC-25SEP26-77000-C,2026-09-25,77000,call,0.06027453,0.0595,0.061,40.73,,,,,184.9,0.0,79052.58
2026-08-26 01:59:59,deribit,BTC,BTC-25SEP26-175000-P,2026-09-25,175000,put,1.2138389,1.2065,1.222,89.1,,,,,3.3,0.0,79052.58
2026-08-26 01:59:59,deribit,BTC,BTC-25DEC26-56000-P,2026-12-25,56000,put,0.01149557,0.011,0.012,48.98,,,,,488.1,1.0,80039.03
2026-08-26 01:59:59,deribit,BTC,BTC-25SEP26-75000-P,2026-09-25,75000,put,0.02452,0.024,0.025,40.82,,,,,3728.2,556.5,79052.58
2026-08-26 01:59:59,deribit,BTC,BTC-25DEC26-140000-C,2026-12-25,140000,call,0.0054875,0.005,0.006,53.34,,,,,1423.6,2.5,80038.34
2026-08-26 01:59:59,deribit,BTC,BTC-30OCT26-71000-C,2026-10-30,71000,call,0.13261846,0.1315,0.1335,41.85,,,,,277.5,1.0,79412.71
2026-08-26 01:59:59,deribit,BTC,BTC-29AUG26-81000-P,2026-08-29,81000,put,0.0349086,0.034,0.036,47.3,,,,,0.0,0.0,78842.98
2026-08-26 01:59:59,deribit,BTC,BTC-25SEP26-90000-C,2026-09-25,90000,call,0.01160972,0.011,0.012,45.18,,,,,6596.8,2501.1,79052.58
2026-08-26 01:59:59,deribit,BTC,BTC-25SEP26-73000-C,2026-09-25,73000,call,0.09378337,0.0925,0.0945,41.38,,,,,41.0,37.5,79051.89
2026-08-26 01:59:59,deribit,BTC,BTC-25DEC26-76000-P,2026-12-25,76000,put,0.07171336,0.071,0.0725,42.42,,,,,188.3,38.1,80039.03
2026-08-26 01:59:59,deribit,BTC,BTC-25DEC26-250000-C,2026-12-25,250000,call,0.00061556,0.0004,0.0009,71.51,,,,,1291.4,0.0,80039.03
2026-08-26 01:59:59,deribit,BTC,BTC-25JUN27-85000-C,2027-06-25,85000,call,0.1407184,0.1395,0.142,43.09,,,,,143.8,0.3,81960.8
2026-08-26 01:59:59,deribit,BTC,BTC-25JUN27-45000-P,2027-06-25,45000,put,0.01550787,0.015,0.0165,50.8,,,,,160.0,4.3,81960.11
2026-08-26 01:59:59,deribit,BTC,BTC-25JUN27-106000-C,2027-06-25,106000,call,0.07050907,0.0695,0.0715,43.82,,,,,0.0,0.0,81960.11
2026-08-26 01:59:59,deribit,BTC,BTC-26MAR27-70000-C,2027-03-26,70000,call,0.20182369,0.2005,0.203,43.52,,,,,798.1,0.0,80926.93
2026-08-26 01:59:59,deribit,BTC,BTC-27AUG26-76500-C,2026-08-27,76500,call,0.03090333,0.0285,0.0335,44.18,,,,,0.0,0.0,78811.24
2026-08-26 01:59:59,deribit,BTC,BTC-30OCT26-40000-P,2026-10-30,40000,put,0.00095119,0.0008,0.0012,72.54,,,,,76.2,2.8,79412.71
2026-08-26 01:59:59,deribit,BTC,BTC-29AUG26-73000-C,2026-08-29,73000,call,0.07529013,0.072,0.078,51.8,,,,,0.0,0.0,78843.73
2026-08-26 01:59:59,deribit,BTC,BTC-11SEP26-95000-P,2026-09-11,95000,put,0.20608152,0.203,0.21,52.86,,,,,0.1,0.0,78927.95
2026-08-26 01:59:59,deribit,BTC,BTC-28AUG26-88000-C,2026-08-28,88000,call,0.00017968,0.0001,0.0003,60.69,,,,,878.0,133.2,78832.18
2026-08-26 01:59:59,deribit,BTC,BTC-25JUN27-108000-C,2027-06-25,108000,call,0.06622545,0.065,0.0675,43.95,,,,,6.5,6.5,81960.8
